"shipID","time","longitude","latitude"
"V444",2021-06-15 04:07:02,1.78252,41.19298
"V444",2021-06-15 05:39:03,2.015273,41.1961
"V444",2021-06-15 04:38:32,1.939512,41.15122
"V444",2021-06-15 06:08:24,2.041947,41.21715
"V444",2021-06-15 06:03:44,2.037972,41.21335
"V444",2021-06-15 04:13:32,1.815402,41.18674
"V444",2021-06-15 05:57:04,2.032708,41.20802
"V444",2021-06-15 04:57:13,1.980682,41.16154
"V444",2021-06-15 04:23:50,1.86607,41.17145
"V444",2021-06-15 05:08:13,1.992607,41.16904
"V444",2021-06-15 04:53:34,1.976452,41.1595
"V444",2021-06-15 05:17:45,2.00099,41.17661
"V444",2021-06-15 04:58:24,1.98202,41.16228
"V444",2021-06-15 05:13:24,1.997202,41.17314
"V444",2021-06-15 06:18:34,2.052383,41.22369
"V444",2021-06-15 04:33:56,1.9165,41.15729
"V444",2021-06-15 05:23:33,2.004838,41.18189
"V444",2021-06-15 06:14:23,2.047745,41.22139
"V444",2021-06-15 05:33:13,2.010778,41.19099
"V444",2021-06-15 06:23:44,2.058482,41.22605
"V444",2021-06-15 05:03:13,1.987187,41.16563
"V444",2021-06-15 04:28:20,1.888268,41.16477
"V444",2021-06-15 05:58:53,2.034345,41.2093
"V444",2021-06-15 05:53:44,2.02942,41.2059
"V444",2021-06-15 04:47:44,1.966132,41.15664
"V444",2021-06-15 06:33:24,2.07017,41.23011
"V444",2021-06-15 04:43:14,1.961758,41.15529
"V444",2021-06-15 05:28:33,2.007953,41.18658
"V444",2021-06-15 05:48:53,2.024562,41.20289
"V444",2021-06-15 06:28:44,2.064612,41.22803
